Article URLs,Non-Article URLs
https://vnexpress.net/ben-trong-vuong-cung-thanh-duong-noi-giao-hoang-francis-an-nghi-4877305.html,
https://vnexpress.net/lo-hong-o-lau-nam-goc-khi-loat-quan-chuc-cap-cao-ra-di-4878386.html,
https://vnexpress.net/cuoc-doi-tan-hien-cua-giao-hoang-francis-4851492.html,
https://vnexpress.net/ben-trong-thanh-duong-quan-linh-cuu-giao-hoang-4878451.html,
https://vnexpress.net/tang-le-giao-hoang-francis-se-dien-ra-the-nao-4876830.html,
https://vnexpress.net/tia-hy-vong-cho-ukraine-tu-cuoc-gap-trump-zelensky-tai-vatican-4879409.html,https://video.vnexpress.net
https://vnexpress.net/chau-au-chuan-bi-ky-nang-ung-pho-xung-dot-cho-nguoi-dan-4873637.html,
https://vnexpress.net/nhung-nguoi-my-buc-xuc-vi-bi-doge-khai-tu-nham-4878497.html,
https://vnexpress.net/chien-luoc-mua-them-hang-my-cua-cac-doi-tac-de-tranh-bi-ap-thue-4875971.html,
https://vnexpress.net/cach-ai-thay-doi-cuoc-song-o-trung-quoc-4876546.html,
https://vnexpress.net/harvard-dai-hoc-nhieu-tuoi-hon-nuoc-my-giau-hon-nhieu-quoc-gia-4876774.html,
https://vnexpress.net/hamas-trong-con-thieu-tien-4875297.html,
https://vnexpress.net/nguoi-leo-lai-vatican-truoc-khi-bau-chon-giao-hoang-moi-4877703.html,
https://vnexpress.net/noi-bat-binh-cua-linh-israel-khi-chien-su-keo-dai-4875190.html,
